Player,In_Hall_of_fame
Kareem Abdul-Jabbar,1
Kobe Bryant,1
LeBron James,2
Tim Duncan,1
Kevin Garnett,1
Shaquille O'Neal,1
Dirk Nowitzki,0
Jerry West,1
Michael Jordan,1
Karl Malone,1
Dwyane Wade,0
Bob Cousy,1
John Havlicek,1
Wilt Chamberlain,1
Isiah Thomas,1
Oscar Robertson,1
Magic Johnson,1
Dolph Schayes,1
Larry Bird,1
Elvin Hayes,1
Moses Malone,1
Bill Russell,1
Hakeem Olajuwon,1
Allen Iverson,1
Elgin Baylor,1
Charles Barkley,1
Julius Erving,1
Bob Pettit,1
Chris Bosh,1
Patrick Ewing,1
Chris Paul,2
Kevin Durant,2
John Stockton,1
Hal Greer,1
Paul Arizin,1
Jason Kidd,1
Clyde Drexler,1
Paul Pierce,1
Ray Allen,1
David Robinson,1
Carmelo Anthony,2
Lenny Wilkens,1
Gary Payton,1
George Gervin,1
Dominique Wilkins,1
Robert Parish,1
Russell Westbrook,2
James Harden,2
Vince Carter,0
Larry Foust,0
Yao Ming,1
Bill Sharman,1
Steve Nash,1
Dave DeBusschere,1
Rick Barry,1
Alex English,1
Dave Cowens,1
Bob Lanier,1
Dikembe Mutombo,1
Anthony Davis,2
Dwight Howard,2
Joe Johnson,0
Jo Jo White,1
Slater Martin,1
Dick McGuire,1
Dave Bing,1
Walt Frazier,1
Harry Gallatin,1
Chet Walker,1
Grant Hill,1
Jerry Lucas,1
Ed Macauley,1
Tracy McGrady,1
Scottie Pippen,1
Willis Reed,1
James Worthy,1
Kevin McHale,1
Alonzo Mourning,1
Jack Sikma,1
Nate Thurmond,1
Stephen Curry,2
Kyrie Irving,2
Paul George,2
LaMarcus Aldridge,2
Larry Costello,0
Tony Parker,0
Lou Hudson,0
Walter Davis,0
Shawn Kemp,0
Amar'e Stoudemire,0
Jermaine O'Neal,0
Pau Gasol,0
Tiny Archibald,1
Joe Dumars,1
Richie Guerin,1
Adrian Dantley,1
Mitch Richmond,1
George Yardley,1
Jack Twyman,1
Tom Heinsohn,1
Bailey Howell,1
Vern Mikkelsen,1
Neil Johnston,1
Artis Gilmore,1
Kyle Lowry,2
Damian Lillard,2
Blake Griffin,2
Tim Hardaway,0
Gene Shue,0
Chauncey Billups,0
Don Ohl,0
Marques Johnson,0
Rudy LaRusso,0
Rudy Tomjanovich,0
Brad Daugherty,0
Bobby Wanzer,1
Gail Goodrich,1
Andy Phillip,1
Sidney Moncrief,1
Cliff Hagan,1
Dennis Johnson,1
Sam Jones,1
Paul Westphal,1
Carl Braun,1
Pete Maravich,1
Tom Gola,1
Gus Johnson,1
Chris Mullin,1
Reggie Miller,1
Wes Unseld,1
Wayne Embry,1
Bob McAdoo,1
Chris Webber,1
John Wall,2
Jimmy Butler,2
Kawhi Leonard,2
Klay Thompson,2
Al Horford,2
Kevin Love,2
Giannis Antetokounmpo,2
Mark Price,0
Otis Birdsong,0
Dick Garmaker,0
Alvin Robertson,0
Johnny Green,0
Micheal Ray Richardson,0
Latrell Sprewell,0
Rolando Blackman,0
Doug Collins,0
Mel Hutchins,0
Willie Naulls,0
Anfernee Hardaway,0
Shawn Marion,0
Sidney Wicks,0
Maurice Lucas,0
Tom Chambers,0
Rasheed Wallace,0
Vin Baker,0
Bill Laimbeer,0
Guy Rodgers,1
Maurice Cheeks,1
Bob Davies,1
Earl Monroe,1
Jim Pollard,1
David Thompson,1
Billy Cunningham,1
Bob Dandridge,1
Bernard King,1
Connie Hawkins,1
Spencer Haywood,1
Bobby Jones,1
Clyde Lovellette,1
Arnie Risen,1
Ben Wallace,1
George Mikan,1
Walt Bellamy,1
Ralph Sampson,1
Rajon Rondo,2
DeMar DeRozan,2
Paul Millsap,2
Kemba Walker,2
DeMarcus Cousins,2
Joel Embiid,2
Paul Seymour,0
Norm Van Lier,0
Gilbert Arenas,0
Phil Chenier,0
Steve Francis,0
Deron Williams,0
Jeff Mullins,0
Antoine Walker,0
Dick Van Arsdale,0
Tom Van Arsdale,0
Mark Aguirre,0
Bill Bridges,0
Richard Hamilton,0
Dan Majerle,0
Brandon Roy,0
Terry Dischinger,0
Glen Rice,0
Kevin Johnson,0
Bob Kauffman,0
Bob Love,0
Dan Roundfield,0
Buck Williams,0
Red Kerr,0
Detlef Schrempf,0
Peja Stojakovic,0
Eddie Jones,0
Larry Nance,0
Charlie Scott,1
Jamaal Wilkes,1
Maurice Stokes,1
George McGinnis,1
Derrick Rose,2
Bradley Beal,2
Draymond Green,2
Nikola Jokic,2
Ben Simmons,2
Marc Gasol,2
Fred Scolari,0
Terrell Brandon,0
Frankie Brian,0
Archie Clark,0
Jack George,0
Stephon Marbury,0
Norm Nixon,0
Gus Williams,0
Baron Davis,0
Dike Eddleman,0
Larry Johnson,0
Fat Lever,0
Terry Porter,0
Frank Selvy,0
Randy Smith,0
Andrew Toney,0
Jimmy Walker,0
Leo Barnhorst,0
Hot Rod Hundley,0
Jeff Malone,0
Geoff Petrie,0
Phil Smith,0
Brian Winters,0
Joe Caldwell,0
Don Kojis,0
Jerry Sloan,0
John Drew,0
Manu Ginobili,0
Allan Houston,0
Rashard Lewis,0
Jim Paxson,0
Jerry Stackhouse,0
Kelly Tripucka,0
Caron Butler,0
Michael Finley,0
John Johnson,0
David Lee,0
Jack Marin,0
Glenn Robinson,0
Truck Robinson,0
Paul Silas,0
Reggie Theus,0
Scott Wedman,0
Elton Brand,0
Sean Elliott,0
Antawn Jamison,0
Eddie Johnson,0
Kiki Vandeweghe,0
Carlos Boozer,0
Terry Cummings,0
Luol Deng,0
Larry Kenon,0
Zach Randolph,0
Red Rocha,0
Kenny Sears,0
David West,0
Danny Manning,0
Jeff Ruland,0
Brad Miller,0
Joakim Noah,0
Kevin Duckworth,0
Walter Dukes,0
Roy Hibbert,0
Zydrunas Ilgauskas,0
Joe Fulks,1
Dennis Rodman,1
Zelmo Beaty,1
Bill Walton,1
Donovan Mitchell,2
Isaiah Thomas,2
Victor Oladipo,2
Devin Booker,2
Luka Doncic,2
Khris Middleton,2
Jayson Tatum,2
Andre Drummond,2
Domantas Sabonis,2
Karl-Anthony Towns,2
Nikola Vucevic,2
Rudy Gobert,2
Michael Adams,0
Ralph Beard,0
Dana Barros,0
Bill Gabor,0
Kenny Anderson,0
Mookie Blaylock,0
Rickey Green,0
Jameer Nelson,0
Mark Jackson,0
Flynn Robinson,0
Adrian Smith,0
Don Sunderlage,0
Nick Van Exel,0
World B. Free,0
Jim King,0
Richie Regan,0
Paul Walther,0
Kevin Willis,0
Max Zaslofsky,0
Butch Beard,0
Fred Brown,0
Sam Cassell,0
Sleepy Floyd,0
