Player,From,To,Years,G,PTS,TRB,AST,FG%,FG3%,FT%,eFG%,PER,WS,All Star,All NBA,All ABA,All Rookie,All Defensive,AST Champ,Scoring Champ,Most Improved,Sixth Man,DPOY,ROY,AS MVP,CF MVP,Finals MVP,MVP,Championships,NBA 75 Team,ABA All-Time Team,In_Hall_of_fame
Alaa Abdelnaby,1991,1995,5,256,5.7,3.3,0.3,50.2,0.0,70.1,50.2,13.0,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Kareem Abdul-Jabbar,1970,1989,20,1560,24.6,11.2,3.6,55.9,5.6,72.1,55.9,24.6,273.4,19,15,0,1,11,0,2,0,0,0,1,0,0,2,6,6,1,0,1.0
Mahmoud Abdul-Rauf,1991,2001,11,586,14.6,1.9,3.5,44.2,35.4,90.5,47.2,15.4,25.2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0
Tariq Abdul-Wahad,1998,2003,6,236,7.8,3.3,1.1,41.7,23.7,70.3,42.2,11.4,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Shareef Abdur-Rahim,1997,2008,12,830,18.1,7.5,2.5,47.2,29.7,81.0,47.9,19.0,71.2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Tom Abernethy,1977,1981,5,319,5.6,3.2,1.2,49.2,0.0,74.7,49.2,12.9,13.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Alex Acker,2006,2009,4,30,2.7,1.0,0.5,37.0,32.0,50.0,41.3,8.5,-0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Mark Acres,1988,1993,6,375,3.6,4.1,0.5,50.6,53.8,66.5,50.9,9.0,9.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Alvan Adams,1976,1988,13,988,14.1,7.0,4.1,49.8,13.3,78.8,49.8,18.3,73.5,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0
Hassan Adams,2007,2009,3,73,2.5,1.2,0.2,53.4,0.0,64.3,53.4,11.8,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Jordan Adams,2015,2016,2,32,3.2,0.9,0.6,40.2,38.5,60.7,45.7,13.1,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Michael Adams,1986,1996,11,653,14.7,2.9,6.4,41.5,33.2,84.9,47.5,16.6,46.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Rafael Addison,1987,1997,11,379,5.8,2.1,0.9,44.9,28.2,77.2,46.6,10.5,4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Jeff Adrien,2011,2015,5,153,4.6,4.3,0.7,47.4,0.0,62.8,47.4,15.0,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Maurice Ager,2007,2011,5,82,2.1,0.6,0.2,33.9,25.0,56.6,36.8,2.8,-0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Mark Aguirre,1982,1994,13,923,20.0,5.0,3.1,48.4,31.2,74.1,49.8,19.0,67.8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.0
Blake Ahearn,2008,2012,5,19,4.6,1.2,1.2,27.3,29.8,97.0,36.4,7.2,-0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Danny Ainge,1982,1995,14,1042,11.5,2.7,4.0,46.9,37.8,84.6,51.9,14.7,71.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.0
Josh Akognon,2013,2013,1,3,1.7,0.3,0.3,50.0,50.0,73.7,62.5,15.3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Solomon Alabi,2011,2012,2,26,1.5,2.3,0.2,31.4,14.2,70.0,31.4,10.3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Mark Alarie,1987,1991,5,325,7.5,3.4,1.1,47.5,25.2,77.5,48.3,13.0,8.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Furkan Aldemir,2015,2015,1,41,2.3,4.3,0.7,51.3,0.0,48.1,51.3,12.0,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Chuck Aleksinas,1985,1985,1,74,5.1,3.6,0.5,47.8,0.0,73.3,47.8,9.1,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Cliff Alexander,2016,2016,1,8,1.3,0.8,0.0,50.0,23.4,67.6,50.0,11.6,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Cory Alexander,1996,2005,10,307,5.5,1.6,2.7,38.9,35.4,75.6,46.8,12.4,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
